year,label,page,lineup,days,entries,alts
2025,Eternal Fire,Eternal Fire,Calyx|EMSTAR|imoRR|jresy|lugseN,115,49,5
2025,FURIA,FURIA,FalleN|KSCERATO|chelo|molodoy|skullz,1,43,2
2025,Falcons,Team Falcons,NiKo|TeSeS|kyousuke|kyxsan|m0NESY,191,57,3
2025,G2,G2 Esports,HeavyGod|SunPayus|huNter-|malbsMd|matys,167,84,5
2025,GamerLegion,GamerLegion,PR|REZ|Tauson|sl3nd|ztr,156,53,5
2025,HEROIC,HEROIC,Alkaren|LNZ|nilo|xfl0ud|yxngstxr,93,93,4
2025,Legacy,Legacy,dumau|latto|lux|n1ssim|saadzin,363,29,1
2025,Liquid,Team Liquid,NAF|NertZ|Twistzz|siuhy|ultimate,169,69,3
2025,MIBR,MIBR,Lucaozy|brnz4n|exit|insani|saffee,114,74,4
2025,MOUZ,MOUZ,Brollan|Jimpphat|Spinx|torzsi|xertioN,343,148,2
2025,Natus Vincere,Natus Vincere,Aleksib|b1t|iM|jL|w0nderful,188,61,2
2025,Spirit,Team Spirit,chopper|donk|magixx|sh1ro|zont1x,187,39,2
2025,The MongolZ,The MongolZ,910|Senzu|Techno4K|bLitz|mzinho,295,56,2
2025,Virtus.pro,Virtus.pro,FL1T|FL4MUS|ICY|electroNic|fame,175,102,4
2025,Vitality,Team Vitality,ZywOo|apEX|flameZ|mezii|ropz,356,36,2
2025,paiN,PaiN Gaming,biguzera|dav1deuS|dgt|nqz|snow,230,66,3
