year,team,days,lineup,igl,awp,worst_conf,status
2020,Vitality,225,RpK|ZywOo|apEX|misutaaa|shox,apEX,ZywOo,high,ok
2020,fnatic,365,Brollan|Golden|JW|KRIMZ|flusha,Golden,JW,high,ok
2021,Astralis,99,Bubzkji|Magisk|Xyp9x|dupreeh|gla1ve,gla1ve,Bubzkji,medium,ok
2021,BIG,211,XANTARES|k1to|syrsoN|tabseN|tiziaN,tabseN,syrsoN,high,ok
2021,Copenhagen Flames,227,HooXi|Jabbi|Zyphon|nicoodoz|roeJ,HooXi,nicoodoz,high,ok
2021,ENCE,198,Snappi|Spinx|doto|dycha|hades,Snappi,,high,NO_AWP
2021,Entropiq,235,El1an|Forester|Krad|Lack1|NickelBack,Lack1,El1an|Forester,medium,ok
2021,Evil Geniuses,200,Brehze|CeRq|MICHU|oBo|stanislaw,,CeRq,high,NO_IGL
2021,FORZE,249,FL1T|Jerry|KENSi|almazer|zorte,almazer,Jerry,medium,ok
2021,FURIA,94,KSCERATO|VINI|arT|drop|yuurih,arT,,high,NO_AWP
2021,FaZe,213,Twistzz|broky|karrigan|olofmeister|rain,karrigan,broky,high,ok
2021,G2,302,AMANEK|JACKZ|NiKo|huNter-|nexa,nexa,,high,NO_AWP
2021,Gambit,365,Ax1Le|HObbit|interz|nafany|sh1ro,nafany,sh1ro,high,ok
2021,HEROIC,308,TeSeS|cadiaN|refrezh|sjuush|stavn,cadiaN,cadiaN,medium,ok
2021,Liquid,347,EliGE|FalleN|Grim|NAF|Stewie2K,FalleN,FalleN,high,ok
2021,MOUZ,317,Bymas|acoR|dexter|frozen|ropz,dexter,acoR,high,ok
2021,Natus Vincere,264,Boombl4|Perfecto|b1t|electroNic|s1mple,Boombl4,s1mple,high,ok
2021,Ninjas in Pyjamas,168,LNZ|Plopski|REZ|dev1ce|hampus,hampus,dev1ce,medium,ok
2021,OG,267,Aleksib|flameZ|mantuu|niko|valde,Aleksib,mantuu,high,ok
2021,Spirit,221,chopper|degster|magixx|mir|sdy,chopper,degster,high,ok
2021,Virtus.pro,294,Jame|Qikert|SANJI|YEKINDAR|buster,Jame,Jame,high,ok
2021,Vitality,251,Kyojin|ZywOo|apEX|misutaaa|shox,apEX,ZywOo,high,ok
2021,fnatic,100,Brollan|Golden|JW|Jackinho|KRIMZ,Golden,JW,high,ok
2022,Astralis,230,Xyp9x|blameF|farlig|gla1ve|k0nfig,gla1ve,farlig,high,ok
2022,BIG,144,Krimbo|faveN|k1to|syrsoN|tabseN,tabseN,syrsoN,high,ok
2022,Cloud9,252,Ax1Le|HObbit|interz|nafany|sh1ro,nafany,sh1ro,high,ok
2022,Copenhagen Flames,152,HooXi|Jabbi|Zyphon|nicoodoz|roeJ,HooXi,nicoodoz,high,ok
2022,ENCE,197,Snappi|Spinx|dycha|hades|maden,Snappi,maden,medium,ok
2022,Entropiq,158,El1an|Forester|Krad|Lack1|NickelBack,Lack1,El1an|Forester,medium,ok
2022,FORZE,289,Jerry|KENSi|Norwi|shalfey|zorte,,Jerry,medium,NO_IGL
2022,FURIA,360,KSCERATO|arT|drop|saffee|yuurih,arT,saffee,high,ok
2022,FaZe,362,Twistzz|broky|karrigan|rain|ropz,karrigan,broky,high,ok
2022,G2,199,Aleksib|JACKZ|NiKo|huNter-|m0NESY,Aleksib,m0NESY,high,ok
2022,Gambit,114,Ax1Le|HObbit|interz|nafany|sh1ro,nafany,sh1ro,high,ok
2022,Liquid,156,EliGE|NAF|nitr0|oSee|shox,nitr0,oSee,high,ok
2022,MOUZ,160,Bymas|JDC|dexter|frozen|torzsi,dexter,torzsi,high,ok
2022,Movistar Riders,223,DeathZz|SunPayus|alex|dav1g|mopoz,alex,SunPayus,medium,ok
2022,Natus Vincere,210,Perfecto|b1t|electroNic|s1mple|sdy,electroNic,s1mple,medium,ok
2022,OG,169,F1KU|NEOFRAG|degster|flameZ|nexa,nexa,degster,high,ok
2022,Outsiders,215,FL1T|Jame|Qikert|fame|n0rb3r7,Jame,Jame,high,ok
2022,Spirit,194,Patsi|chopper|magixx|s1ren|w0nderful,chopper,w0nderful,high,ok
2022,Vitality,216,Magisk|ZywOo|apEX|dupreeh|misutaaa,apEX,ZywOo,high,ok
2022,fnatic,149,FASHR|KRIMZ|mezii|nicoodoz|roeJ,roeJ,nicoodoz,medium,ok
2023,9INE,313,Goofy|KEi|Kylar|hades|mynio,,Kylar,medium,NO_IGL
2023,Apeks,181,STYKO|jL|jkaem|kyxsan|nawwk,kyxsan,nawwk,medium,ok
2023,Astralis,154,Buzz|Staehr|b0RUP|blameF|dev1ce,blameF,dev1ce,high,ok
2023,BIG,193,Krimbo|mantuu|prosus|s1n|tabseN,tabseN,mantuu,high,ok
2023,Cloud9,177,Ax1Le|HObbit|buster|nafany|sh1ro,nafany,sh1ro,high,ok
2023,ENCE,284,NertZ|Snappi|SunPayus|dycha|maden,Snappi,SunPayus|maden,medium,ok
2023,FURIA,182,FalleN|KSCERATO|arT|chelo|yuurih,FalleN,FalleN,high,ok
2023,FaZe,335,Twistzz|broky|karrigan|rain|ropz,karrigan,broky,high,ok
2023,G2,324,HooXi|NiKo|huNter-|jks|m0NESY,HooXi,m0NESY,high,ok
2023,GamerLegion,181,Keoz|acoR|iM|isak|siuhy,siuhy,acoR,high,ok
2023,HEROIC,277,TeSeS|cadiaN|jabbi|sjuush|stavn,cadiaN,cadiaN,medium,ok
2023,Liquid,155,EliGE|NAF|YEKINDAR|nitr0|oSee,nitr0,oSee,high,ok
2023,MOUZ,179,JDC|dexter|frozen|torzsi|xertioN,dexter,torzsi,high,ok
2023,Monte,173,DemQQ|Woro2k|br0|kRaSnaL|sdy,,Woro2k|br0,medium,NO_IGL
2023,Natus Vincere,180,Perfecto|b1t|electroNic|npl|s1mple,npl,s1mple,medium,ok
2023,Virtus.pro,135,FL1T|Jame|fame|mir|n0rb3r7,Jame,Jame,high,ok
2023,fnatic,181,FASHR|KRIMZ|mezii|nicoodoz|roeJ,roeJ,nicoodoz,medium,ok
2024,9z,346,HUASOPEEK|Martinez|buda|dgt|max,dgt,max,medium,ok
2024,Astralis,200,Staehr|br0|dev1ce|jabbi|stavn,,br0|dev1ce,medium,NO_IGL
2024,Complexity,346,EliGE|Grim|JT|floppy|hallzerk,JT,hallzerk,medium,ok
2024,Eternal Fire,366,Calyx|MAJ3R|Wicadia|XANTARES|woxic,MAJ3R,woxic,high,ok
2024,FURIA,176,FalleN|KSCERATO|chelo|skullz|yuurih,FalleN,FalleN,high,ok
2024,FaZe,366,broky|frozen|karrigan|rain|ropz,karrigan,broky,high,ok
